2019/12/21 17:01:29 - train_logger - INFO - 74 - train - This training task is set as following:                  num_epochs:30,                  learning_rate:0.0001                  weight_decay:0.0                  =======================================
2019/12/21 17:01:35 - train_logger - INFO - 129 - train - Epoch [1/30], Step 1, train Loss: 5460.1001
2019/12/21 17:01:35 - train_logger - INFO - 129 - train - Epoch [1/30], Step 2, train Loss: 27112.0430
2019/12/21 17:01:35 - train_logger - INFO - 129 - train - Epoch [1/30], Step 3, train Loss: 10893.9775
2019/12/21 17:01:36 - train_logger - INFO - 129 - train - Epoch [1/30], Step 4, train Loss: 13051.1172
2019/12/21 17:01:36 - train_logger - INFO - 129 - train - Epoch [1/30], Step 5, train Loss: 10828.4463
2019/12/21 17:01:36 - train_logger - INFO - 129 - train - Epoch [1/30], Step 6, train Loss: 9442.1816
2019/12/21 17:01:36 - train_logger - INFO - 129 - train - Epoch [1/30], Step 7, train Loss: 7696.9258
2019/12/21 17:01:37 - train_logger - INFO - 129 - train - Epoch [1/30], Step 8, train Loss: 10792.5459
2019/12/21 17:01:37 - train_logger - INFO - 129 - train - Epoch [1/30], Step 9, train Loss: 16746.1953
2019/12/21 17:01:37 - train_logger - INFO - 129 - train - Epoch [1/30], Step 10, train Loss: 14128.4033
2019/12/21 17:01:38 - train_logger - INFO - 129 - train - Epoch [1/30], Step 11, train Loss: 11367.7627
2019/12/21 17:01:38 - train_logger - INFO - 129 - train - Epoch [1/30], Step 12, train Loss: 10111.3066
2019/12/21 17:01:38 - train_logger - INFO - 129 - train - Epoch [1/30], Step 13, train Loss: 9924.6719
2019/12/21 17:01:38 - train_logger - INFO - 129 - train - Epoch [1/30], Step 14, train Loss: 15263.7412
2019/12/21 17:01:39 - train_logger - INFO - 129 - train - Epoch [1/30], Step 15, train Loss: 17611.4355
2019/12/21 17:01:39 - train_logger - INFO - 129 - train - Epoch [1/30], Step 16, train Loss: 14669.7627
2019/12/21 17:01:39 - train_logger - INFO - 129 - train - Epoch [1/30], Step 17, train Loss: 12161.9482
2019/12/21 17:01:40 - train_logger - INFO - 129 - train - Epoch [1/30], Step 18, train Loss: 30258.6973
2019/12/21 17:01:40 - train_logger - INFO - 129 - train - Epoch [1/30], Step 19, train Loss: 6243.2490
2019/12/21 17:01:40 - train_logger - INFO - 129 - train - Epoch [1/30], Step 20, train Loss: 20111.3262
2019/12/21 17:01:40 - train_logger - INFO - 129 - train - Epoch [1/30], Step 21, train Loss: 5873.7949
2019/12/21 17:01:41 - train_logger - INFO - 129 - train - Epoch [1/30], Step 22, train Loss: 22878.5996
2019/12/21 17:01:41 - train_logger - INFO - 129 - train - Epoch [1/30], Step 23, train Loss: 16131.1816
2019/12/21 17:01:41 - train_logger - INFO - 129 - train - Epoch [1/30], Step 24, train Loss: 8206.3477
2019/12/21 17:01:41 - train_logger - INFO - 129 - train - Epoch [1/30], Step 25, train Loss: 15591.0381
2019/12/21 17:01:41 - train_logger - INFO - 129 - train - Epoch [1/30], Step 26, train Loss: 15121.4873
2019/12/21 17:01:42 - train_logger - INFO - 129 - train - Epoch [1/30], Step 27, train Loss: 18349.4922
2019/12/21 17:01:42 - train_logger - INFO - 129 - train - Epoch [1/30], Step 28, train Loss: 5176.2129
2019/12/21 17:01:42 - train_logger - INFO - 129 - train - Epoch [1/30], Step 29, train Loss: 21207.3711
2019/12/21 17:01:43 - train_logger - INFO - 129 - train - Epoch [1/30], Step 30, train Loss: 20116.4141
2019/12/21 17:01:43 - train_logger - INFO - 129 - train - Epoch [1/30], Step 31, train Loss: 17122.9922
2019/12/21 17:01:43 - train_logger - INFO - 129 - train - Epoch [1/30], Step 32, train Loss: 12147.6523
2019/12/21 17:01:43 - train_logger - INFO - 129 - train - Epoch [1/30], Step 33, train Loss: 16258.3223
2019/12/21 17:01:43 - train_logger - INFO - 129 - train - Epoch [1/30], Step 34, train Loss: 15434.4111
2019/12/21 17:01:44 - train_logger - INFO - 129 - train - Epoch [1/30], Step 35, train Loss: 14825.8643
2019/12/21 17:01:44 - train_logger - INFO - 129 - train - Epoch [1/30], Step 36, train Loss: 15913.8477
2019/12/21 17:01:44 - train_logger - INFO - 129 - train - Epoch [1/30], Step 37, train Loss: 21338.1797
2019/12/21 17:01:45 - train_logger - INFO - 129 - train - Epoch [1/30], Step 38, train Loss: 8237.7490
2019/12/21 17:01:45 - train_logger - INFO - 129 - train - Epoch [1/30], Step 39, train Loss: 4771.9102
2019/12/21 17:01:45 - train_logger - INFO - 129 - train - Epoch [1/30], Step 40, train Loss: 17508.4434
2019/12/21 17:01:46 - train_logger - INFO - 129 - train - Epoch [1/30], Step 41, train Loss: 10325.7344
2019/12/21 17:01:46 - train_logger - INFO - 129 - train - Epoch [1/30], Step 42, train Loss: 11495.0781
2019/12/21 17:01:46 - train_logger - INFO - 129 - train - Epoch [1/30], Step 43, train Loss: 10236.4287
2019/12/21 17:01:47 - train_logger - INFO - 129 - train - Epoch [1/30], Step 44, train Loss: 10646.0596
2019/12/21 17:01:47 - train_logger - INFO - 129 - train - Epoch [1/30], Step 45, train Loss: 3668.6667
2019/12/21 17:01:47 - train_logger - INFO - 129 - train - Epoch [1/30], Step 46, train Loss: 13241.3584
2019/12/21 17:01:47 - train_logger - INFO - 129 - train - Epoch [1/30], Step 47, train Loss: 14107.5713
2019/12/21 17:01:47 - train_logger - INFO - 129 - train - Epoch [1/30], Step 48, train Loss: 17003.1562
2019/12/21 17:01:48 - train_logger - INFO - 129 - train - Epoch [1/30], Step 49, train Loss: 13349.2646
2019/12/21 17:01:48 - train_logger - INFO - 129 - train - Epoch [1/30], Step 50, train Loss: 15336.0225
2019/12/21 17:01:48 - train_logger - INFO - 129 - train - Epoch [1/30], Step 51, train Loss: 8378.5615
2019/12/21 17:01:48 - train_logger - INFO - 129 - train - Epoch [1/30], Step 52, train Loss: 18334.3438
2019/12/21 17:01:49 - train_logger - INFO - 129 - train - Epoch [1/30], Step 53, train Loss: 9951.3779
2019/12/21 17:01:49 - train_logger - INFO - 129 - train - Epoch [1/30], Step 54, train Loss: 4316.5942
2019/12/21 17:01:49 - train_logger - INFO - 129 - train - Epoch [1/30], Step 55, train Loss: 9131.2236
2019/12/21 17:01:49 - train_logger - INFO - 129 - train - Epoch [1/30], Step 56, train Loss: 16669.2266
2019/12/21 17:01:50 - train_logger - INFO - 129 - train - Epoch [1/30], Step 57, train Loss: 12056.6123
2019/12/21 17:01:50 - train_logger - INFO - 129 - train - Epoch [1/30], Step 58, train Loss: 20231.4648
2019/12/21 17:01:50 - train_logger - INFO - 129 - train - Epoch [1/30], Step 59, train Loss: 26525.1562
2019/12/21 17:01:51 - train_logger - INFO - 129 - train - Epoch [1/30], Step 60, train Loss: 8342.4590
2019/12/21 17:01:51 - train_logger - INFO - 129 - train - Epoch [1/30], Step 61, train Loss: 8613.9346
2019/12/21 17:01:51 - train_logger - INFO - 129 - train - Epoch [1/30], Step 62, train Loss: 8938.8291
2019/12/21 17:01:51 - train_logger - INFO - 129 - train - Epoch [1/30], Step 63, train Loss: 12000.3945
2019/12/21 17:01:52 - train_logger - INFO - 129 - train - Epoch [1/30], Step 64, train Loss: 16124.0576
2019/12/21 17:01:52 - train_logger - INFO - 129 - train - Epoch [1/30], Step 65, train Loss: 7377.5698
2019/12/21 17:01:52 - train_logger - INFO - 129 - train - Epoch [1/30], Step 66, train Loss: 3731.7664
2019/12/21 17:01:53 - train_logger - INFO - 129 - train - Epoch [1/30], Step 67, train Loss: 8513.1152
2019/12/21 17:01:53 - train_logger - INFO - 129 - train - Epoch [1/30], Step 68, train Loss: 31266.6855
2019/12/21 17:01:53 - train_logger - INFO - 129 - train - Epoch [1/30], Step 69, train Loss: 12606.5898
2019/12/21 17:01:53 - train_logger - INFO - 129 - train - Epoch [1/30], Step 70, train Loss: 26713.9766
2019/12/21 17:01:54 - train_logger - INFO - 129 - train - Epoch [1/30], Step 71, train Loss: 15559.5703
2019/12/21 17:01:54 - train_logger - INFO - 129 - train - Epoch [1/30], Step 72, train Loss: 14261.4707
2019/12/21 17:01:54 - train_logger - INFO - 129 - train - Epoch [1/30], Step 73, train Loss: 42386.3438
2019/12/21 17:01:55 - train_logger - INFO - 129 - train - Epoch [1/30], Step 74, train Loss: 10290.4648
2019/12/21 17:01:55 - train_logger - INFO - 129 - train - Epoch [1/30], Step 75, train Loss: 20548.3477
2019/12/21 17:01:55 - train_logger - INFO - 129 - train - Epoch [1/30], Step 76, train Loss: 10789.6689
2019/12/21 17:01:55 - train_logger - INFO - 129 - train - Epoch [1/30], Step 77, train Loss: 20963.2285
2019/12/21 17:01:56 - train_logger - INFO - 129 - train - Epoch [1/30], Step 78, train Loss: 4302.0400
2019/12/21 17:01:56 - train_logger - INFO - 129 - train - Epoch [1/30], Step 79, train Loss: 4794.6270
2019/12/21 17:01:56 - train_logger - INFO - 129 - train - Epoch [1/30], Step 80, train Loss: 2677.2051
2019/12/21 17:01:57 - train_logger - INFO - 129 - train - Epoch [1/30], Step 81, train Loss: 13858.5713
2019/12/21 17:01:57 - train_logger - INFO - 129 - train - Epoch [1/30], Step 82, train Loss: 8114.8706
2019/12/21 17:01:57 - train_logger - INFO - 129 - train - Epoch [1/30], Step 83, train Loss: 20784.3262
2019/12/21 17:01:57 - train_logger - INFO - 129 - train - Epoch [1/30], Step 84, train Loss: 7134.5078
2019/12/21 17:01:58 - train_logger - INFO - 129 - train - Epoch [1/30], Step 85, train Loss: 13129.4053
2019/12/21 17:01:58 - train_logger - INFO - 129 - train - Epoch [1/30], Step 86, train Loss: 6405.8569
2019/12/21 17:01:59 - train_logger - INFO - 129 - train - Epoch [1/30], Step 87, train Loss: 16268.2031
2019/12/21 17:01:59 - train_logger - INFO - 129 - train - Epoch [1/30], Step 88, train Loss: 11746.0693
2019/12/21 17:01:59 - train_logger - INFO - 129 - train - Epoch [1/30], Step 89, train Loss: 14980.1484
2019/12/21 17:01:59 - train_logger - INFO - 129 - train - Epoch [1/30], Step 90, train Loss: 9603.1465
2019/12/21 17:02:00 - train_logger - INFO - 129 - train - Epoch [1/30], Step 91, train Loss: 29959.7832
2019/12/21 17:02:00 - train_logger - INFO - 129 - train - Epoch [1/30], Step 92, train Loss: 8534.0479
2019/12/21 17:02:00 - train_logger - INFO - 129 - train - Epoch [1/30], Step 93, train Loss: 8466.5127
2019/12/21 17:02:01 - train_logger - INFO - 129 - train - Epoch [1/30], Step 94, train Loss: 17038.1133
2019/12/21 17:02:01 - train_logger - INFO - 129 - train - Epoch [1/30], Step 95, train Loss: 8051.0850
2019/12/21 17:02:02 - train_logger - INFO - 129 - train - Epoch [1/30], Step 96, train Loss: 9792.7236
2019/12/21 17:02:02 - train_logger - INFO - 129 - train - Epoch [1/30], Step 97, train Loss: 20766.7695
2019/12/21 17:02:02 - train_logger - INFO - 129 - train - Epoch [1/30], Step 98, train Loss: 10038.1934
2019/12/21 17:02:02 - train_logger - INFO - 129 - train - Epoch [1/30], Step 99, train Loss: 15175.3457
2019/12/21 17:02:03 - train_logger - INFO - 129 - train - Epoch [1/30], Step 100, train Loss: 39724.4492
2019/12/21 17:02:03 - train_logger - INFO - 129 - train - Epoch [1/30], Step 101, train Loss: 4729.2334
2019/12/21 17:02:03 - train_logger - INFO - 129 - train - Epoch [1/30], Step 102, train Loss: 7906.0640
2019/12/21 17:02:04 - train_logger - INFO - 129 - train - Epoch [1/30], Step 103, train Loss: 7593.4385
2019/12/21 17:02:04 - train_logger - INFO - 129 - train - Epoch [1/30], Step 104, train Loss: 9766.2793
2019/12/21 17:02:04 - train_logger - INFO - 129 - train - Epoch [1/30], Step 105, train Loss: 14350.3135
2019/12/21 17:02:05 - train_logger - INFO - 129 - train - Epoch [1/30], Step 106, train Loss: 14196.3438
2019/12/21 17:02:05 - train_logger - INFO - 129 - train - Epoch [1/30], Step 107, train Loss: 5527.0713
2019/12/21 17:02:05 - train_logger - INFO - 129 - train - Epoch [1/30], Step 108, train Loss: 3958.5222
2019/12/21 17:02:05 - train_logger - INFO - 129 - train - Epoch [1/30], Step 109, train Loss: 17679.8594
2019/12/21 17:02:06 - train_logger - INFO - 129 - train - Epoch [1/30], Step 110, train Loss: 6900.2983
2019/12/21 17:02:06 - train_logger - INFO - 129 - train - Epoch [1/30], Step 111, train Loss: 6309.1665
2019/12/21 17:02:06 - train_logger - INFO - 129 - train - Epoch [1/30], Step 112, train Loss: 13879.0986
2019/12/21 17:02:07 - train_logger - INFO - 129 - train - Epoch [1/30], Step 113, train Loss: 13075.4102
2019/12/21 17:02:07 - train_logger - INFO - 129 - train - Epoch [1/30], Step 114, train Loss: 14144.8877
2019/12/21 17:02:07 - train_logger - INFO - 129 - train - Epoch [1/30], Step 115, train Loss: 17305.3887
2019/12/21 17:02:07 - train_logger - INFO - 129 - train - Epoch [1/30], Step 116, train Loss: 17073.9219
2019/12/21 17:02:08 - train_logger - INFO - 129 - train - Epoch [1/30], Step 117, train Loss: 6453.6870
2019/12/21 17:02:08 - train_logger - INFO - 129 - train - Epoch [1/30], Step 118, train Loss: 8073.7202
2019/12/21 17:02:08 - train_logger - INFO - 129 - train - Epoch [1/30], Step 119, train Loss: 9513.5420
2019/12/21 17:02:09 - train_logger - INFO - 129 - train - Epoch [1/30], Step 120, train Loss: 7038.4883
2019/12/21 17:02:09 - train_logger - INFO - 129 - train - Epoch [1/30], Step 121, train Loss: 15631.1182
